"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Friday"	"6"	343	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Saturday"	"7"	318	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Sunday"	"1"	266	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Monday"	"2"	434	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Tuesday"	"3"	397	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Wednesday"	"4"	413	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Thursday"	"5"	305	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Friday"	"6"	313	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Saturday"	"7"	296	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Sunday"	"1"	317	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Monday"	"2"	340	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Tuesday"	"3"	348	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Wednesday"	"4"	327	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Thursday"	"5"	329	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Friday"	"6"	310	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Saturday"	"7"	267	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Sunday"	"1"	284	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Monday"	"2"	388	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Tuesday"	"3"	319	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Wednesday"	"4"	292	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Thursday"	"5"	395	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Friday"	"6"	414	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Saturday"	"7"	354	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Sunday"	"1"	388	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Monday"	"2"	506	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Tuesday"	"3"	327	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Wednesday"	"4"	376	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Thursday"	"5"	302	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Friday"	"6"	345	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Saturday"	"7"	261	Not Applicable	Not Applicable
